Brin, Sergey / A
Zuckerberg, Mark / B
Hopper, Grace / B
Gates, Bill / A
Babbage, Charles / A
Knuth, Donald / A
Ritchie, Dennis / A
Simon, Herbert / A
Kay, Alan / B
Noyce, Robert / B
Shannon, Claude / C
Brooks, Frederick / B
Dijkstra, Edsger / C
Torvalds, Linus / B
Cerf, Vinton / B
Kahn, Robert / C
Turing, Alan / B
Wozniak, Steve / C
Page, Larry / C
Von Neumann, John / A
Allen, Paul / B
Codd, Edgar / A
Stallman, Richard / C
Berners-Lee, Tim / B
Moore, Gordon / B
Lovelace, Ada / B
Thompson, Ken / B
McCarthy, John / C
Jobs, Steve / B
Engelbart, Douglas / B
