Cine
🤵🍷🔫;El Padrino
🦇🌃🃏;El caballero oscuro
🍔💼🩸;Pulp Fiction
🏃🪑🍫;Forrest Gump
⛓️🕊️🏢;Cadena perpetua
📜🔺✡️;La lista de Schindler
🚢🧊💔;Titanic
💊🐇🖥️;Matrix
💍🌋🧝;El Señor de los Anillos: La Comunidad del Anillo
💍🏰🏰;El Señor de los Anillos: Las dos torres
💍👑⚔️;El Señor de los Anillos: El retorno del Rey
🌌⚔️🤖;Star Wars
🌌❄️⚔️;El Imperio contraataca
⏰🚗⚡️;Regreso al futuro
🦖🧪🏝️;Parque Jurásico
🎩🗺️🗿;En busca del arca perdida
👽📞🌕;E.T. el extraterrestre
🛸🐣😱;Alien, el octavo pasajero
🔫👩‍🚀🐲;Aliens: El regreso
🕶️🤖🔥;Terminator 2: El juicio final
⚔️🛡️🏟️;Gladiator
🗡️🏔️🏴‍☠️;Braveheart
🎹💃🌆;La La Land
☕️🍰❤️;Amélie
👧🐉🛁;El viaje de Chihiro
🌳🐱🚌;Mi vecino Totoro
🦁🌅👑;El Rey León
🤠🧸🚀;Toy Story
🎸💀🌺;Coco
🎈🏠👴;Up
🤖🌱🚀;WALL·E
🐭👨‍🍳🍝;Ratatouille
🧠😊😢;Del revés
🤡🃏🏙️;Joker
🌀🛏️🏙️;Origen
🚀⏳🌀;Interstellar
🤠🔗✊;Django desencadenado
🎖️🇫🇷🔥;Malditos bastardos
🗡️🟨👩;Kill Bill: Volumen 1
🔵🌳🌌;Avatar
🦸‍♂️🦸‍♀️🌍;Los Vengadores
🕷️🕸️🗽;Spider-Man: Un nuevo universo
🐈‍⬛👑🌍;Black Panther
🎳🧋🕶️;El gran Lebowski
👊🧼🤐;El club de la lucha
🐑🤫🦋;El silencio de los corderos
🗡️🌧️🏔️;Siete samuráis
🍣🔨🚪;Oldboy
🐐🌿🗝️;El laberinto del fauno
