Inglés (Avanzado)
la maleza;the undergrowth
el crepúsculo;the twilight
el amanecer;the dawn
el ocaso;the sunset
el horizonte;the horizon
la cima;the summit
la llanura;the plain
el acantilado;the cliff
el pantano;the swamp
el arrecife;the reef
la bahía;the bay
el archipiélago;the archipelago
la península;the peninsula
la cordillera;the mountain range
el glaciar;the glacier
la erupción;the eruption
el terremoto;the earthquake
la sequía;the drought
la inundación;the flood
el vendaval;the gale
el trueno;the thunder
el relámpago;the lightning
la llovizna;the drizzle
la escarcha;the frost
el rocío;the dew
la niebla;the fog
el granizo;the hail
la ventisca;the blizzard
el huracán;the hurricane
el arco iris;the rainbow
la brújula;the compass
el mapa;the map
el viajero;the traveler
la travesía;the journey
la odisea;the odyssey
la estancia;the sojourn
el exilio;the exile
el peregrino;the pilgrim
la expedición;the expedition
la caravana;the caravan
el refugio;the shelter
el aposento;the chamber
la bóveda;the vault
el vestíbulo;the foyer
la azotea;the rooftop
el subsuelo;the basement
la buhardilla;the attic
el ventanal;the bay window
el umbral;the threshold
la celda;the cell
la reja;the grille
el candado;the padlock
la cerradura;the lock
la aldaba;the knocker
el picaporte;the doorknob
el tapiz;the tapestry
el lienzo;the canvas
el esmalte;the enamel
la acuarela;the watercolor
el pincel;the paintbrush
el caballete;the easel
el escultor;the sculptor
la arcilla;the clay
el mármol;the marble
el bronce;the bronze
el cincel;the chisel
la sinfonía;the symphony
la partitura;the score
el acorde;the chord
la disonancia;the dissonance
el compás;the time signature
el coro;the choir
la orquesta;the orchestra
el director;the conductor
el solista;the soloist
el ensayo;the rehearsal
la ovación;the ovation
el telón;the curtain
la platea;the stalls
el palco;the box
la tramoya;the stage machinery
el vestuario;the wardrobe
la utilería;the props
el guion;the script
la metáfora;the metaphor
la hipérbole;the hyperbole
la paradoja;the paradox
la alegoría;the allegory
la sátira;the satire
la fábula;the fable
el epílogo;the epilogue
el prólogo;the prologue
el desenlace;the denouement
la intriga;the plot
el clímax;the climax
el narrador;the narrator
la moraleja;the moral
