Lingua Latina (Básico)
mesa;mensa
silla;sella
cama;lectus
puerta;porta
ventana;fenestra
casa;domus
pared;paries
techo;tectum
suelo;pavimentum
jardín;hortus
campo;ager
ciudad;urbs
pueblo;oppidum
camino;via
puente;pons
río;fluvius
lago;lacus
mar;mare
isla;insula
montaña;mons
bosque;silva
flor;flos
árbol;arbor
hoja;folium
raíz;radix
rama;ramus
fruto;fructus
semilla;semen
sol;sol
luna;luna
estrella;stella
cielo;caelum
nube;nubes
lluvia;pluvia
nieve;nix
viento;ventus
fuego;ignis
tierra;terra
agua;aqua
aire;aer
hombre;homo
mujer;femina
niño;puer
niña;puella
padre;pater
madre;mater
hermano;frater
hermana;soror
hijo;filius
hija;filia
amigo;amicus
amiga;amica
maestro;magister
maestra;magistra
alumno;discipulus
alumna;discipula
rey;rex
reina;regina
señor;dominus
señora;domina
esclavo;servus
esclava;serva
soldado;miles
campesino;agricola
poeta;poeta
pescador;piscator
comerciante;mercator
médico;medicus
sacerdote;sacerdos
templo;templum
iglesia;ecclesia
plaza;forum
teatro;theatrum
libro;liber
carta;epistula
palabra;verbum
voz;vox
nombre;nomen
mano;manus
pie;pes
cabeza;caput
ojo;oculus
oreja;auris
nariz;nasus
boca;os
diente;dens
lengua;lingua
corazón;cor
sangre;sanguis
hueso;os
piel;cutis
cuerpo;corpus
alma;anima
vida;vita
muerte;mors
día;dies
noche;nox
tiempo;tempus
año;annus
mes;mensis
hora;hora
