Verben (es-de)
abrazar;umarmen
abrir;aufmachen
abrir;aufschließen
abrir;öffnen
acostarse;ins Bett gehen
agradecer;danken
amar;lieben
andar;gehen
aprender;lernen
ayudar;helfen
bajar;hinuntergehen
bajar;senken
barrer;fegen
beber;trinken
besar;küssen
buscar;suchen
cambiar;wechseln
caminar;spazieren
caminar;wandern
cerrar;abschließen
cerrar;schließen
cerrar;zumachen
cocinar;kochen
comer;essen
comparar;vergleichen
comprar;kaufen
conducir;fahren
conocer;kennen
construir;bauen
contar;erzählen
correr;laufen
cortar;schneiden
costar;kosten
crear;schaffen
crecer;wachsen
creer;glauben
cuidar;pflegen
curar;heilen
dar;geben
deber;müssen
decidir;entscheiden
decir;sagen
descansar;sich ausruhen
descubrir;entdecken
desear;wünschen
despertar;aufwachen
dibujar;zeichnen
dormir;schlafen
elegir;wählen
empeorar;verschlechtern
empezar;anfangen
empezar;beginnen
empujar;schieben
encontrar;finden
enfermar;krank werden
enseñar;unterrichten
ensuciar;verschmutzen
entrar;eintreten
entrar;hineingehen
enviar;schicken
enviar;senden
escalar;klettern
escribir;schreiben
escuchar;zuhören
esperar;warten
estudiar;studieren
existir;existieren
explicar;ausführen
explicar;erklären
freír;braten
ganar;gewinnen
guardar;speichern
gustar;mögen
hablar;sprechen
hornear;backen
invitar;einladen
ir;fahren
jugar;spielen
lavar;waschen
leer;lesen
levantarse;aufstehen
limpiar;putzen
llamar;rufen
llamarse;heißen
llevar;tragen
llorar;weinen
mejorar;verbessern
mezclar;mischen
mirar;anschauen
montar;reiten
morir;sterben
nacer;geboren werden
nadar;schwimmen
navegar;segeln
necesitar;brauchen
obligar;zwingen
odiar;hassen
oír;hören
olvidar;vergessen
ordenar;aufräumen
organizar;organisieren
pagar;bezahlen
pensar;denken
perder;verlieren
permitir;dürfen
pintar;malen
planchar;bügeln
poder;können
poner;legen
preguntar;fragen
preparar;vorbereiten
probar;probieren
quedarse;bleiben
querer;wollen
quitar;entfernen
recibir;bekommen
recibir;erhalten
recordar;erinnern
reducir;reduziere
reír;lachen
repetir;wiederholen
resolver;lösen
responder;antworten
romper;brechen
romper;kaputtmachen
saber;wissen
salir;ausgehen
salir;hinausgehen
seguir;folgen
sentarse;sich setzen
sentir;fühlen
sonreír;lächlen
soñar;träumen
subir;erhöhen
subir;steigen
tener que;sollen
terminar;beenden
terminar;enden
tirar;ziehen
trabajar;arbeiten
traer;bringen
usar;benutzen
usar;verwenden
vender;verkaufen
venir;kommen
ver;sehen
viajar;fahren
viajar;reisen
vivir;leben
volar;fliegen
volver;zurückkommen
