Tabla periódica (nombre --> símbolo)
Actinio;Ac
Plata;Ag
Aluminio;Al
Americio;Am
Argón;Ar
Arsénico;As
Astato;At
Oro;Au
Boro;B
Bario;Ba
Berilio;Be
Bismuto;Bi
Bromo;Br
Carbono;C
Calcio;Ca
Cadmio;Cd
Cerio;Ce
Cloro;Cl
Cobalto;Co
Cromo;Cr
Cesio;Cs
Cobre;Cu
Disprosio;Dy
Erbio;Er
Europio;Eu
Flúor;F
Hierro;Fe
Francio;Fr
Galio;Ga
Gadolinio;Gd
Germanio;Ge
Hidrógeno;H
Helio;He
Hafnio;Hf
Mercurio;Hg
Holmio;Ho
Yodo;I
Indio;In
Iridio;Ir
Potasio;K
Kriptón;Kr
Lantano;La
Litio;Li
Lutecio;Lu
Magnesio;Mg
Manganeso;Mn
Molibdeno;Mo
Nitrógeno;N
Sodio;Na
Niobio;Nb
Neodimio;Nd
Neón;Ne
Níquel;Ni
Neptunio;Np
Oxígeno;O
Osmio;Os
Fósforo;P
Protactinio;Pa
Plomo;Pb
Paladio;Pd
Prometio;Pm
Polonio;Po
Praseodimio;Pr
Platino;Pt
Plutonio;Pu
Radio;Ra
Rubidio;Rb
Renio;Re
Rodio;Rh
Radón;Rn
Rutenio;Ru
Azufre;S
Antimonio;Sb
Escandio;Sc
Selenio;Se
Silicio;Si
Samario;Sm
Estaño;Sn
Estroncio;Sr
Tantalio;Ta
Terbio;Tb
Tecnecio;Tc
Teluro;Te
Torio;Th
Titanio;Ti
Talio;Tl
Tulio;Tm
Uranio;U
Vanadio;V
Wolframio;W
Xenón;Xe
Itrio;Y
Iterbio;Yb
Zinc;Zn
Circonio;Zr
